"point_order","x","y"
1,"153.46506171","-28.83640636"
1,"153.46506311","-28.83638532"
1,"153.47559112","-28.8086907"
1,"153.539118","-28.71711679"
1,"153.54202071","-28.71518928"
1,"153.54211115","-28.71513602"
1,"153.59957899","-28.74547282"
1,"153.67719682","-28.79846442"
1,"153.67771715","-28.79887854"
1,"153.64890812","-28.83684403"
1,"153.62556992","-28.93844027"
1,"153.62552577","-28.93872104"
1,"153.62361352","-28.9397193"
1,"153.62313269","-28.93990777"
1,"153.58216784","-28.95567559"
1,"153.49922089","-28.90096221"
1,"153.47614996","-28.88503742"
1,"153.47603226","-28.88462747"
1,"153.46506815","-28.83658725"
1,"153.46506141","-28.83646299"
1,"153.46506094","-28.83643376"
1,"153.46506171","-28.83640636"
